ISLAND,Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Table,,,,Acropora,Acropora,,red,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Other,Cyphastrea,,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Porites,Porites,sp.,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Porites,Porites,sp.,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Brain,,,,Other,Paragoniastrea,,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Table,,,,Acropora,Acropora,,Green,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Massive,,,,Other,Goniopora,,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Mussidae,,,,Other,Homophyllia,?,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Stylophora,Stylophora,,Pink,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Stylophora,Stylophora,pistillata,Pink,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,??,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D001,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,??,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D001,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,10,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D002,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,40,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D003,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D004,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,10,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D005,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,5,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,20,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration,
LHI,19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,White syndrome,5,Apical,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
LHI,20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,,
