Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Table,,,,Acropora,Acropora,,red,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Other,Cythastrea,,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Purple,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Porites,Porites,sp.,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Porites,Porites,sp.,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Brain,,,,Other,Paragoniastrea,,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Table,,,,Acropora,Acropora,,Green,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Massive,,,,Other,Goniopora,,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Mussidae,,,,Other,Homophyllia,?,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Submassive,,,,Isopora,Isopora,cuneata,Orange,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Stylophora,Stylophora,,Pink,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Stylophora,Stylophora,pistillata,Pink,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,??,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D001,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,??,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D001,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,10,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D002,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,40,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D003,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D004,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,10,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D005,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,5,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,20,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Other,Disease,Tissue loss,,Basal,Smooth,Irregular,All,Tissue loss,No,NO,Only tips alive
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Brown/Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Brown/Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Brown/Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Porites,Porites,sp.,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Staghorn,,,,Acropora,Acropora,PIC,Blue/Pink,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Staghorn,,,,Acropora,Acropora,PIC,Blue/Pink,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Staghorn,,,,Acropora,Acropora,PIC,Brown/Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Massive,,?,,Other,Homophyllia,pic,Brown/Green,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Massive,,?,,Other,Favia,pic,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Massive,,,,Other,Favia,pic,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Massive,,,,Other,Favia,pic,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Massive,,?,,Other,Platygyra,pi,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Unhealthy,Other,Injured,Bleached,,,,,,,,,Bleached and broken
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D007
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,10,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D008
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Table,,,,Acropora,Acropora,,Brown/red,L,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D009
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Submassive,,,,Isopora,Isopora,cuneata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
