Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,??,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D001,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,??,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D001,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,10,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D002,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,40,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D003,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,90,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D004,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,10,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,D005,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,5,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,20,Central,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration
19/11/18,19,2018 November,2018,Tess,Coral Garden,7:53,8:31,1,1,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Irregular,Polyp,Tissue loss,Yes,NO,Discoloration
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,,Basal,Smooth,Irregular,All,Tissue loss,No,NO,Only tips alive
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D007
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Unhealthy,Disease,Disease,Tissue loss,10,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D008
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,7,19,Table,,,,Acropora,Acropora,,Brown/red,L,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,D009
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Growth anomaly,40,Central,Smooth,Cruciform,Coenosarc,Growth anomaly,Yes,Yes,D0010
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Pocillopora,Pocillopora,damicornis,,M,Unhealthy,Disease,Disease,Discoloration,30,Apical,Undulating,,All,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:39,3:13,8,20,Branching,,,,Pocillopora,Pocillopora,damicornis,,M,Unhealthy,Disease,Disease,Discoloration,20,Apical,Undulating,,All,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:40,3:14,8,20,Branching,,,,Pocillopora,Pocillopora,damicornis,,S,Unhealthy,Disease,Disease,Discoloration,15,Apical,Undulating,,All,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:41,3:15,8,20,Branching,,,,Pocillopora,Pocillopora,damicornis,,S,Unhealthy,Disease,Disease,Discoloration,15,Apical,Undulating,,All,,,,
20/11/18,20,2018 November,2018,Tess,North Bay,2:38,3:12,8,20,Branching,,,,Pocillopora,Pocillopora,damicornis,,S,Unhealthy,Disease,Disease,Discoloration,10,Apical,Undulating,,All,,,,
21/11/18,21,2018 November,2018,Tess,Erscotts Reef,0:09,0:50,4,10,Table,,,,Acropora,Acropora,PIC,,L,Unhealthy,Disease,Disease,Tissue loss,90,Central,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,died off - recent disease or drupella predation
21/11/18,21,2018 November,2018,Tess,Erscotts Reef,0:09,0:50,4,10,Table,,,,Acropora,Acropora,pic,,L,Unhealthy,Disease,Disease,Tissue loss,50,Central,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,died off - recent disease or drupella predation
21/11/18,21,2018 November,2018,Tess,Erscotts Reef,0:09,0:50,4,10,Submassive,,,,Isopora,Isopora,cuneata,Yellow,M,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,,,Tissue loss,Yes,Yes,
21/11/18,21,2018 November,2018,Tess,Erscotts Reef,0:09,0:50,4,10,Submassive,,,,Isopora,Isopora,cuneata,Yellow,M,Unhealthy,Disease,Disease,Tissue loss,1,Peripheral ,Smooth,,,Tissue loss,Yes,Yes,
21/11/18,21,2018 November,2018,Tess,Erscotts Reef,0:09,0:50,4,10,Branching,,,,Seriatopora,Seriatopora,hystrix,,S,Unhealthy,Disease,Disease,Tissue loss,10,Apical,Smooth,,,Tissue loss,Yes,Yes,
