 ,Date,Site,Time,Transect,Quadrat,QuadratSite,TransectSite,Aux5,Height (cm),Latitude,Longitude,Comments,Row,Column,CoralTaxa,Taxa,Label,Group,Annotator,Date annotated,Machine suggestion 1
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,55,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,166,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,277,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,388,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,499,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,610,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,721,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,55,832,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,55,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,166,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,277,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,388,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,499,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,610,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,721,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,166,832,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,55,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,166,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,277,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,388,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,499,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,610,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,721,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,278,832,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,55,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,166,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,277,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,388,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,499,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,610,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,721,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,389,832,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,55,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,166,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,277,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,388,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,499,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,610,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,721,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,501,832,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,55,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,166,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,277,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,388,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,499,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,610,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,721,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,613,832,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,55,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,166,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,277,Rubble,Rubble,Rubble,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,388,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,499,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,610,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,721,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,724,832,Sand,Sand,Sand,abiotic,tess.moriarty,2020-06-30 11:52:48+00:00,
S01T01Q01.png,18/11/18,Coral Garden,November,1,1,1,1,,,,,,836,55,Macro,Macro,Macro,algae,tess.moriarty,2020-06-30 11:52:48+00:00,
