Name,Site,Transect,Quadrat,Annotation status,Annotation area,Acr_arb,Acr_bra,Acr_dig,Acr_tab,Astrea,Cypha,Homo,Isopora,Para_austr,PocDam,Porites,Seriatop,StPis,ascidian,Soft,Sponge,Sand,Silt,D_coral,Rock,Rubble,CCA,Macro,Seagrass
S01T01Q01.png,1,1,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,60,0,10,5
S01T01Q02.png,1,1,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,45,0,0,5,35,0,5,0
S01T01Q03.png,1,1,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,15,85,0,0,0,0,0,0,0,0,0
S01T02Q01.png,1,2,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,25,0,0,35
S01T02Q02.png,1,2,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
S01T03Q01.JPG,1,3,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,40,0,0,0
S01T03Q02.JPG,1,3,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,45,0,15,0,0,0,0,0,0,20,0,0,10,10,0,0,0
S01T03Q03.JPG,1,3,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,5,70,0,0,0
S02T01Q01_2.JPG,2,1,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,80
S02T01Q02.JPG,2,1,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,15,0,10,15,0,5,0,0,0,10,0,0,25,20,0,0,0
S02T01Q03.JPG,2,1,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,65,0,0,0,15,0,5,0
S02T02Q01.JPG,2,2,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,75,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0
S02T02Q02.JPG,2,2,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,15,0,10,15,0,5,0,0,0,0,0,0,10,45,0
S02T02Q03.JPG,2,2,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,0,0,0,0,0,0,80,0
S02T03Q01.JPG,2,3,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02T03Q02.JPG,2,3,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02T03Q03.JPG,2,3,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
S03T01Q01.JPG,3,1,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0
S03T01Q02.JPG,3,1,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,25,0,0,0,0,0,0,0,0,0,10,5,0,0,0,55,0,0,0,5,0
S03T01Q03.JPG,3,1,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,15,5,5,5,10,0,0,0,0,5,0,0,55,0
S03T02Q01.JPG,3,2,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,35,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,15,0,0,30,0
S03T02Q02.JPG,3,2,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,10,0,5,5,0,10,0,20,0,0,0,10,20,0,0,20,0
S03T02Q03.JPG,3,2,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,5,0,10,0,40,0,0,0,0,0,0,15,30,0
S03T03Q02.JPG,3,3,2,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,0,0,0,0,0,0,5,0,0,60,0,0,5,0,0,25,0,0,5,0
S03T03Q03.JPG,3,3,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,35,0,0,10,40,0,10,0
SO1T02PQ03.JPG,1,2,3,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,80,0
T03T03Q01.JPG,3,3,1,Confirmed,X: 10 - 100% / Y: 10 - 100%,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
